LD,Flow,IsB,Epi,Height,Mean,se
Dark,Low,IS,without,17,100.0719476,0.072243774
Dark,Low,IS,with,22,100.024947,0.185321927
Dark,Low,IS,without,22,99.61963996,0.145945596
Dark,Low,B,with,0,98.42877008,0.727171517
Dark,Low,B,without,0,98.72088134,0.424877703
Dark,Low,B,with,0.25,98.74917346,0.581482064
Dark,Low,B,without,0.25,99.35984394,0.261009627
Dark,Low,B,with,0.5,99.1969693,0.265646992
Dark,Low,B,without,0.5,99.42424131,0.277089553
Dark,Low,B,with,0.75,99.49234346,0.132031684
Dark,Low,B,without,0.75,99.37290837,0.334826249
Dark,Low,B,with,1,99.84767353,0.149813655
Dark,Low,B,without,1,99.54298043,0.314476168
Dark,Low,B,with,1.5,99.74858181,0.170543798
Dark,Low,B,without,1.5,99.76474296,0.2276747
Dark,Low,B,with,2,99.70126106,0.174037188
Dark,Low,B,without,2,99.87462707,0.124883083
Dark,Low,B,with,2.5,99.78216047,0.142985871
Dark,Low,B,without,2.5,100.0544945,0.093582322
Dark,Low,B,with,3,99.89714556,0.120505377
Dark,Low,B,without,3,100.0461843,0.093349799
Dark,Low,B,with,4,99.94533951,0.095368968
Dark,Low,B,without,4,99.94337462,0.077473898
Dark,Low,B,with,5,99.87782124,0.074331035
Dark,Low,B,without,5,100.0217024,0.059814022
Dark,Low,B,with,6,100.0113014,0.06270595
Dark,Low,B,without,6,100.1163782,0.069654363
Dark,Low,B,with,7,100.0143636,0.07433072
Dark,Low,B,without,7,99.97581129,0.071176551
Dark,Low,B,with,9,100.0086185,0.063673142
Dark,Low,B,without,9,100.0352853,0.041938208
Dark,Low,B,with,11,100.0200203,0.075919431
Dark,Low,B,without,11,100.030691,0.076421549
Dark,Low,B,with,14,99.77929423,0.111235195
Dark,Low,B,without,14,100.4300854,0.244660331
Dark,Low,B,with,17,99.83027149,0.098432476
Dark,Low,B,without,17,100.1367596,0.3504438
Dark,High,IS,with,0,98.33823026,1.11789048
Dark,High,IS,without,0,99.10339061,0.347454859
Dark,High,IS,with,0.25,98.47011885,1.100664765
Dark,High,IS,without,0.25,99.12756611,0.35839548
Dark,High,IS,with,0.5,98.60063679,1.037062115
Dark,High,IS,without,0.5,99.2367436,0.259675396
Dark,High,IS,with,0.75,98.63127013,1.045272096
Dark,High,IS,without,0.75,99.45694825,0.261914045
Dark,High,IS,with,1,99.11881783,0.640139579
Dark,High,IS,without,1,99.68981866,0.184093935
Dark,High,IS,with,1.5,99.41439253,0.319731045
Dark,High,IS,without,1.5,99.86796718,0.147400965
Dark,High,IS,with,2,99.74107783,0.16866074
Dark,High,IS,without,2,99.71300624,0.152319197
Dark,High,IS,with,2.5,99.79303643,0.164425815
Dark,High,IS,without,2.5,99.64452867,0.224246582
Dark,High,IS,with,3,99.64068911,0.184635923
Dark,High,IS,without,3,99.63687096,0.246007154
Dark,High,IS,with,4,99.65379087,0.251728108
Dark,High,IS,without,4,99.81064971,0.181937308
Dark,High,IS,with,5,99.7860144,0.199284864
Dark,High,IS,without,5,99.95027115,0.09694544
Dark,High,IS,with,6,99.81220776,0.106015742
Dark,High,IS,without,6,99.98648482,0.076371132
Dark,High,IS,with,7,100.2219051,0.121393013
Dark,High,IS,without,7,99.9906263,0.064382609
Dark,High,IS,with,9,100.2293212,0.135870263
Dark,High,IS,without,9,100.1242298,0.077288342
Dark,High,IS,with,11,100.1899711,0.125804156
Dark,High,IS,without,11,100.1898719,0.248189149
Dark,High,B,with,0,99.47159289,0.406008193
Dark,High,B,without,0,99.8649014,0.222903464
Dark,High,B,with,0.25,99.86822751,0.083714461
Dark,High,B,without,0.25,100.020309,0.124411139
Dark,High,B,with,0.5,99.96085345,0.069101568
Dark,High,B,without,0.5,100.0020165,0.119429083
Dark,High,B,with,0.75,100.0556549,0.064537534
Dark,High,B,without,0.75,100.0619857,0.10917912
Dark,High,B,with,1,100.0890289,0.061072223
Dark,High,B,without,1,100.0608319,0.121126203
Dark,High,B,with,1.5,100.0490047,0.071086554
Dark,High,B,without,1.5,100.0677798,0.077376846
Dark,High,B,with,2,99.99398931,0.059634032
Dark,High,B,without,2,100.0786241,0.05418842
Dark,High,B,with,2.5,100.0156813,0.069839041
Dark,High,B,without,2.5,100.1374833,0.073298978
Dark,High,B,with,3,99.99865727,0.084303636
Dark,High,B,without,3,100.0042223,0.057465823
Dark,High,B,with,4,100.0560404,0.060879156
Dark,High,B,without,4,100.0120152,0.079781676
Dark,High,B,with,5,100.0386506,0.069408054
Dark,High,B,without,5,100.0265541,0.067686375
Dark,High,B,with,6,100.0751786,0.061632383
Dark,High,B,without,6,100.0068845,0.052957744
Dark,High,B,with,7,99.99900326,0.071440328
Dark,High,B,without,7,99.9242024,0.076257241
Light,High,B,with,0,101.4810394,0.876282846
Light,High,B,without,0,100.7817729,0.366748209
Light,High,B,with,0.25,100.8260238,0.428062842
Light,High,B,without,0.25,100.3086058,0.088753846
Light,High,B,with,0.5,100.2368116,0.114681726
Light,High,B,without,0.5,100.1987155,0.086412472
Light,High,B,with,0.75,100.259262,0.091986546
Light,High,B,without,0.75,100.2256861,0.086633767
Light,High,B,with,1,100.2869477,0.074460182
Light,High,B,without,1,100.2937145,0.071562485
Light,High,B,with,1.5,100.1800407,0.076649623
Light,High,B,without,1.5,100.2177472,0.084468468
Light,High,B,with,2,100.171395,0.079537687
Light,High,B,without,2,100.2708605,0.088365431
Light,High,B,with,2.5,100.0905838,0.059996216
Light,High,B,without,2.5,100.1044847,0.066422649
Light,High,B,with,3,100.0810889,0.083953325
Light,High,B,without,3,100.1021985,0.068585542
Light,High,B,with,4,100.0575947,0.06890757
Light,High,B,without,4,100.0478877,0.066648636
Light,High,B,with,5,99.97709712,0.073937641
Light,High,B,without,5,99.89191451,0.079700411
Light,High,B,with,6,100.0362646,0.047592355
Light,High,B,without,6,100.0352275,0.051731898
Light,High,B,with,7,99.96565103,0.065362862
Light,High,B,without,7,100.0952464,0.075924036
Light,High,IS,with,0,103.5000849,1.998569102
Light,High,IS,without,0,104.5977806,2.515082515
Light,High,IS,with,0.25,101.5650785,0.983354488
Light,High,IS,without,0.25,102.3811419,1.34779719
Light,High,IS,with,0.5,101.2788143,0.838802145
Light,High,IS,without,0.5,101.0129378,0.614971056
Light,High,IS,with,0.75,100.2011179,0.178983989
Light,High,IS,without,0.75,100.5400372,0.363980993
Light,High,IS,with,1,100.1071595,0.12165705
Light,High,IS,without,1,100.5855366,0.421935543
Light,High,IS,with,1.5,100.0974887,0.122092261
Light,High,IS,without,1.5,100.0178355,0.270365806
Light,High,IS,with,2,100.0492221,0.143355223
Light,High,IS,without,2,100.3191663,0.210875828
Light,High,IS,with,2.5,100.1959993,0.116752127
Light,High,IS,without,2.5,100.322954,0.167444886
Light,High,IS,with,3,100.0542762,0.103014091
Light,High,IS,without,3,100.4262963,0.162937592
Light,High,IS,with,4,100.0935452,0.10133004
Light,High,IS,without,4,100.2187165,0.123397333
Light,High,IS,with,5,100.0914835,0.067107265
Light,High,IS,without,5,100.323881,0.078398092
Light,High,IS,with,6,100.0737944,0.062290635
Light,High,IS,without,6,100.1759349,0.0818933
Light,High,IS,with,7,99.98875972,0.088084625
Light,High,IS,without,7,100.13358,0.080005523
Light,Low,IS,with,0,116.9452592,5.509570728
Light,Low,IS,without,0,114.8979877,5.710347543
Light,Low,IS,with,0.25,115.4669767,4.966938461
Light,Low,IS,without,0.25,112.3960935,5.272002754
Light,Low,IS,with,0.5,111.6739098,3.949014111
Light,Low,IS,without,0.5,107.9427391,4.094781384
Light,Low,IS,with,0.75,109.3447084,2.919865612
Light,Low,IS,without,0.75,105.8800309,2.972144461
Light,Low,IS,with,1,105.9682058,1.316120674
Light,Low,IS,without,1,107.6842445,2.654793502
Light,Low,IS,with,1.5,104.0958975,0.934110238
Light,Low,IS,without,1.5,106.2564254,2.796857876
Light,Low,IS,with,2,104.559442,1.623744633
Light,Low,IS,without,2,108.2167364,2.526961562
Light,Low,IS,with,2.5,103.9556561,0.900034209
Light,Low,IS,without,2.5,106.6912001,1.815387238
Light,Low,IS,with,3,102.4859785,0.64413686
Light,Low,IS,without,3,105.776181,1.528478411
Light,Low,IS,with,4,103.4087645,0.710576977
Light,Low,IS,without,4,104.3398015,0.849226279
Light,Low,IS,with,5,103.3006709,0.805257526
Light,Low,IS,without,5,102.9954177,0.858689859
Light,Low,IS,with,6,101.8619448,0.471879573
Light,Low,IS,without,6,102.0751178,0.729238291
Light,Low,IS,with,7,101.1668225,0.343856069
Light,Low,IS,without,7,101.4804271,0.469810785
Light,Low,IS,with,9,100.8575232,0.362014761
Light,Low,IS,without,9,100.7012388,0.229889531
Light,Low,IS,with,11,100.1377908,0.099100168
Light,Low,IS,without,11,100.0489812,0.068272978
Light,Low,IS,with,14,99.98004303,0.054799933
Light,Low,IS,without,14,100.0536884,0.060085929
Light,Low,IS,with,17,99.99519024,0.075354009
Light,Low,IS,without,17,100.0631002,0.098653498
Light,Low,B,with,0,104.226142,1.201190119
Light,Low,B,without,0,105.8431132,2.100305415
Light,Low,B,with,0.25,102.743218,0.71550133
Light,Low,B,without,0.25,102.7641302,0.743854018
Light,Low,B,with,0.5,102.041002,0.472720707
Light,Low,B,without,0.5,101.568863,0.616055434
Light,Low,B,with,0.75,101.5385964,0.382879132
Light,Low,B,without,0.75,101.4234015,0.545833272
Light,Low,B,with,1,101.6721363,0.438927758
Light,Low,B,without,1,101.2236864,0.395564215
Light,Low,B,with,1.5,101.445082,0.335098467
Light,Low,B,without,1.5,101.1565708,0.277375992
Light,Low,B,with,2,100.7782864,0.188287912
Light,Low,B,without,2,100.7709226,0.223384044
Light,Low,B,with,2.5,100.6130284,0.219982661
Light,Low,B,without,2.5,100.8843583,0.241595892
Light,Low,B,with,3,100.178649,0.09286018
Light,Low,B,without,3,100.6238366,0.231622064
Light,Low,B,with,4,100.1767757,0.092353797
Light,Low,B,without,4,100.2821439,0.118358469
Light,Low,B,with,5,100.1188177,0.064512979
Light,Low,B,without,5,100.0342408,0.076404298
Light,Low,B,with,6,100.0122849,0.08088602
Light,Low,B,without,6,100.1322198,0.066017152
Light,Low,B,with,7,99.98596941,0.067460593
Light,Low,B,without,7,100.052938,0.082020169
Light,Low,B,with,9,100.0613245,0.098753341
Light,Low,B,without,9,99.95249221,0.062294549
Light,Low,B,with,11,100.1308246,0.106945252
Light,Low,B,without,11,99.82229578,0.088307139
Light,Static,B,with,0,174.2461577,8.556020298
Light,Static,B,without,0,181.6430375,10.90297654
Light,Static,B,with,0.25,159.894893,8.021837005
Light,Static,B,without,0.25,164.9602993,10.15373965
Light,Static,B,with,0.5,141.7500072,7.770678141
Light,Static,B,without,0.5,142.850922,8.675265515
Light,Static,B,with,0.75,135.5955761,8.150329896
Light,Static,B,without,0.75,137.909588,8.798707991
Light,Static,B,with,1,124.9653971,7.247606584
Light,Static,B,without,1,131.4088433,7.718902317
Light,Static,B,with,1.5,121.8144127,7.656626794
Light,Static,B,without,1.5,121.6140771,5.963998798
Light,Static,B,with,2,125.8148798,7.354321942
Light,Static,B,without,2,120.1834752,6.13753095
Light,Static,B,with,2.5,118.1433102,6.878088987
Light,Static,B,without,2.5,112.5221386,4.018675324
Light,Static,B,with,3,120.7801715,7.439236144
